month_id,remittances
2020-03,"2,397"
2020-04,"2,046"
2020-05,"2,106"
2020-06,"2,465"
2020-07,"2,783"
2020-08,"2,483"
2020-09,"2,601"
2020-10,"2,747"
2020-11,"2,379"
2020-12,"2,890"
2021-01,"2,603"
2021-02,"2,476"
2021-03,"2,514"
2021-04,"2,305"
2021-05,"2,382"
2021-06,"2,638"
2021-07,"2,853"
2021-08,"2,609"
2021-09,"2,737"
2021-10,"2,812"
2021-11,"2,502"
2021-12,"2,987"
2022-01,"2,668"
2022-02,"2,509"
2022-03,"2,594"
2022-04,"2,395"
2022-05,"2,425"
2022-06,"2,755"
2022-07,"2,917"
2022-08,"2,721"
2022-09,"2,840"
2022-10,"2,911"
2022-11,"2,644"
2022-12,"3,159"
2023-01,"2,762"
2023-02,"2,569"
2023-03,"2,671"
2023-04,"2,485"
2023-05,"2,494"
2023-06,"2,812"
2023-07,"2,992"
2023-08,"2,796"
2023-09,"2,913"
2023-10,"2,998"
2023-11,"2,719"
2023-12,"3,280"
2024-01,"2,836"
2024-02,"2,646"
2024-03,"2,738"
2024-04,"2,562"
2024-05,"2,583"
2024-06,"2,882"
2024-07,"3,085"
2024-08,"2,885"
2024-09,"3,009"
2024-10,"3,079"
2024-11,"2,808"
2024-12,"3,380"
2025-01,"2,918"
2025-02,"2,716"
2025-03,"2,810"
2025-04,"2,664"
2025-05,
2025-06,
