month_id,gdp_household,gdp_gov,gdp_capital,gdp_exports,gdp_imports,gdp_se,gdp_total
1992-06,975184.809006574,174180.045066976,241303.590606632,216359.353857181,287955.363233532,-59879.29135672096,1259193.14394711
1992-09,976986.884215349,168256.116492939,237649.241816646,233506.758129876,290109.446024409,-88476.24449905101,1237813.31013135
1992-12,1089074.56622574,176790.941923886,286617.054857253,262691.151896481,286535.274079916,-58985.125384147745,1469653.315439296
1993-03,925910.757810684,180546.54511976,258175.140856588,232927.919809065,269831.957865619,-44467.20037096087,1283261.2053595171
1993-06,1000663.28559924,187135.969110536,246144.524332065,236108.04459459,307725.954135876,-70630.39979149611,1291695.469709059
1993-09,1005132.13802517,180085.5302103,277166.42860211,246412.169699407,329475.515120556,-108870.79040538124,1270449.96101105
1993-12,1117438.5877049,186573.348789403,322319.058379237,284215.462536939,340207.934217948,-62895.06554215681,1507443.4576503742
1994-03,950347.264876265,188601.729140295,284550.395989269,268629.348208381,336948.394157186,-26241.555598964216,1328938.78845806
1994-06,1029232.33564046,195801.414442368,299835.640866412,287775.05447408,362391.470195173,-97753.57392282737,1352499.4013053197
1994-09,1035561.99921485,191036.543066882,247976.11867835,304950.882416722,338862.75136475,-103981.79677079804,1336680.995241256
1994-12,1152035.51139843,197825.153420455,357670.839995969,326068.065190817,378849.151822892,-85903.72932741605,1568846.688855363
1995-03,988765.309754241,198440.034229214,313301.018653347,278551.1857151,359988.162288844,-26620.91234349995,1392448.473719558
1995-06,1059374.00842734,206099.693637468,283470.60620086,309183.183416762,426255.810642107,-22350.227284784894,1409521.453755538
1995-09,1055979.56867395,201111.698534375,260335.188251051,354759.369797591,405825.703636059,-49192.8116472729,1417167.309973635
1995-12,1187475.10655446,204114.513788943,364806.988494742,377386.568570548,438838.633702991,-68706.15832443768,1626238.3853812641
1996-03,1021616.62144009,204773.211792425,339585.472749226,319248.92253695,424555.445612463,3861.970355114201,1464530.7532613422
1996-06,1100926.65623763,215529.657413771,329451.879333393,349187.095904563,478946.631212972,-13087.069127571769,1503061.588548813
1996-09,1095001.56775355,206072.025889982,317061.186439512,412888.364021878,490961.763088133,-36808.210298134014,1503253.170718655
1996-12,1238002.20040874,210347.968873822,377465.147817869,430412.06200661,494809.681716432,-44328.24117942434,1717089.456211185
1997-03,1064091.17613641,212327.498574744,386699.609260325,390979.208924846,471430.389388544,-43345.94445689907,1539321.159050882
1997-06,1151858.42282463,230290.160278831,351100.435565224,408704.631149649,515211.02451129,-32992.8183357378,1593749.806971306
1997-09,1138640.09047851,216808.625137976,343173.230630488,458009.112587788,570649.480228493,-12102.087053054944,1573879.491553214
1997-12,1294011.10562044,210594.16582845,432529.779193963,506392.518607717,573427.478781674,-68183.79778430401,1801916.292684592
1998-03,1135556.41793772,205210.896958273,383648.651363829,401150.36131746,524145.858587589,-33867.12646129867,1567553.342528394
1998-06,1233179.25247906,233015.760566051,323848.585108351,331241.091610408,480405.582210401,-60786.2417220911,1580092.865831378
1998-09,1191246.41406937,219752.725161963,343306.292591998,349796.926832144,484896.431483407,-39313.60994418594,1579892.317227882
1998-12,1334636.15778385,210295.469733713,238960.036885822,330594.426809988,360517.734858603,-6101.603692429839,1747866.7526623402
1999-03,1177094.86999066,210467.891033195,259310.585212874,399016.06031851,463796.067409442,-961.096175706014,1581132.242970091
1999-06,1282997.68576557,223429.11919867,334554.215664545,363689.024297798,503650.116818944,-66588.27233593678,1634431.655771702
1999-09,1237056.21349469,207636.853968364,297778.609589628,414819.579839944,516143.301722352,-1163.1030271286145,1639984.8521431452
1999-12,1394637.60602908,195218.19301977,229585.485792953,378896.339773748,397806.884669262,36022.06399876601,1836552.803945055
2000-03,1238391.1936299999,196144.222520456,295296.4260644366,407798.3198472435,498256.2441703529,13922.095973877469,1653296.0138656606
2000-06,1339474.592,224339.26968299,252277.35543576954,410901.5421770179,493190.52827917854,-4012.8211073174607,1729789.4099092814
2000-09,1313248.2310699997,212407.403794242,245992.3197292393,495673.0896862238,541690.8389510906,-16217.3024127651,1709412.9029158491
2000-12,1465297.7645592995,195842.37800231195,339957.7730727251,455642.0634704778,570163.0931939022,6308.027546205092,1892884.9134571175
2001-03,1293275.0147599997,197424.136544332,299802.4145668769,469729.07814262726,582621.9547762042,15600.149362130789,1693208.8385997622
2001-06,1360269.49962,227298.374764515,355947.7856180153,414598.9281082765,584701.3313715322,12908.865826037712,1786322.1225653123
2001-09,1372738.83469,206385.859439223,320306.8655007282,447494.1002218375,567179.1772925326,-17163.20299552055,1762583.2795637352
2001-12,1541293.4207243607,186651.66806385483,389786.6963114398,399816.1068159364,549932.5850390607,-11345.812192647252,1956269.494683884
2002-03,1339317.2810600002,185698.406885049,377907.1351569124,436735.04258856794,594820.9746972858,14009.887350136647,1758846.7783433802
2002-06,1446343.98058,220816.381256914,352121.0470323998,431676.3207246204,596399.600608244,-2853.3548582694493,1851704.7741274205
2002-09,1458722.21938,204648.322427958,295793.4356450455,485170.7282693704,616973.7198096669,-17594.00152359018,1809766.984389117
2002-12,1607138.7005738604,176674.09790567885,431648.14927378186,461956.201060406,638279.1236741352,6437.469031724613,2045575.4941713167
2003-03,1429858.2091,193910.221304044,382789.00125918165,470343.76851804333,647140.0177810342,10317.552982572466,1840078.7353828074
2003-06,1515315.1547500002,217669.055946481,369237.3276678694,467113.8864626393,640701.2236968521,4341.417083480163,1932975.618213618
2003-09,1523863.1971400005,219996.681396366,264349.9543060075,552199.9302748173,631950.4905300037,-18758.608528413344,1909700.6640587742
2003-12,1697271.7886514794,189451.880676884,435142.5394910202,493513.517774089,656556.9569536233,4099.638462359086,2162922.4081022087
2004-03,1523683.1710399997,207095.264638297,383136.2778315028,485321.07064905344,629576.2087068646,2468.0492347674444,1972127.6246867557
2004-06,1582890.89114,221251.177472561,455575.7850609795,489184.965076998,677594.0480126569,6502.921766500454,2077811.692504382
2004-09,1612650.1309699998,217023.583916013,302760.12558225804,567254.1783487956,650812.4338584921,-19756.598635441158,2029118.9863231336
2004-12,1811167.1921084495,193032.28100221822,399153.8133148446,571136.753402139,703256.0667434544,10785.62763417093,2282019.600718368
2005-03,1598765.2072699997,210418.44727005,331201.61423413473,548189.450929481,637568.5678709,20133.7215268265,2071139.873359592
2005-06,1678552.9031699998,250907.018068748,414060.461355488,572619.0168806302,723315.7465942082,2545.0353691736236,2195368.688249831
2005-09,1671508.2159900002,210662.411248578,295130.51008309075,646920.7475408353,686892.273748372,-19344.912158197723,2117984.6989559345
2005-12,1871806.186019171,191371.295353481,433405.67452235427,609239.9240531463,712657.8882201272,-3333.844737805426,2389831.34699022
2006-03,1654718.1974499999,232879.968977924,333423.64329536504,632653.4097595554,709926.3471934558,20632.343147159554,2164381.215436548
2006-06,1766476.80345,275899.473735839,329575.3455039242,678899.2337133595,725595.8175888896,59.05558279994875,2325314.094397033
2006-09,1732144.8566500002,245446.069213096,237286.67084609397,682778.5116122258,658963.1129636187,-21100.313349671662,2217592.682008126
2006-12,1952559.1563080992,214169.92399388616,421477.5027801919,621694.0384848394,676793.2510045839,408.9146197158843,2533516.285182148
2007-03,1721463.90878,263396.176858682,320010.0924106623,668837.6299790692,691585.2051674315,15674.261744876858,2297796.864605859
2007-06,1852434.7231600003,302268.331277125,368242.893469848,671559.9444874017,707408.5177804241,-2680.3586951508187,2484417.0159187997
2007-09,1808810.1022999997,239834.237314826,296236.07249702694,708423.0662315323,668975.5556012705,-21554.667560059577,2362773.2551820553
2007-12,2064943.6181535504,231713.20954943835,447441.1885220035,642079.1984959879,696485.8654958605,8560.764510330744,2698252.1137354504
2008-03,1812829.45449,257820.610309212,397179.9062001553,608142.983130659,691876.7963907076,9511.131639994215,2393607.2893793127
2008-06,1908159.88849,294099.275520887,444796.62058529817,691344.1403131676,735891.6216171128,491.0397036522627,2602999.3429958923
